"Sample Group","Source","Source ID","Well #","Site ID","Sample ID","Sample Date","Sample Type","# Samples","# Results","Sample Time","Description","Date Reported","Source","Collector","Lab ID","Lab","Reason for No Results","Lab Comments"
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","995363","06/05/2017","Raw Water","1","2","1210","","06/20/2017","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","3696443","05/17/2017","Raw Water","1","7","1215","","06/02/2017","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Good"
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","1099","05/17/2017","Raw Water","1","1","1225","","05/18/2017","Well","E. KIEFER","154","NORTH SHORE WATER COMMISSION","","LT2 Testing"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","992791","05/17/2017","Compliance","1","1","1230","","06/14/2017","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","992790","05/17/2017","Raw Water","1","2","1230","","06/14/2017","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Inorganics","Entry Point","100","(none)","M-100","983835","04/18/2017","Compliance","1","16","1115","","05/16/2017","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","3676825","04/18/2017","Raw Water","1","7","1235","","05/01/2017","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Good"
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","1083","04/18/2017","Raw Water","1","1","1235","","04/19/2017","Well","E. KIEFER","154","NORTH SHORE WATER COMMISSION","","LT2 Testing"
"Synthetic Organics","Entry Point","100","(none)","M-100","983834","04/18/2017","Compliance","1","40","1050","","05/16/2017","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","983909","04/18/2017","Compliance","1","1","1125","","04/26/2017","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","983908","04/18/2017","Raw Water","1","2","1125","","04/26/2017","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Volatile Organics","Entry Point","100","(none)","M-100","983836","04/18/2017","Compliance","1","41","1120","","05/16/2017","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","1075","03/21/2017","Raw Water","1","1","956","","03/22/2017","Well","E. KIEFER","154","NORTH SHORE WATER COMMISSION","","LT2 Testing"
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","3659041","03/21/2017","Raw Water","1","7","956","","06/13/2017","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Good"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","977926","03/15/2017","Compliance","1","1","1130","","03/22/2017","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","977925","03/15/2017","Raw Water","1","2","1130","","03/22/2017","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","1071","02/21/2017","Raw Water","1","1","1135","","02/22/2017","Well","E. KIEFER","154","NORTH SHORE WATER COMMISSION","","LT2 Testing"
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","3642145","02/21/2017","Raw Water","1","7","1130","","03/06/2017","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Good"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","973447","02/13/2017","Compliance","1","1","1215","","02/23/2017","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","973448","02/13/2017","Raw Water","1","2","1215","","02/23/2017","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","1065","01/17/2017","Raw Water","1","1","1015","","01/18/2017","Well","E. KIEFER","154","NORTH SHORE WATER COMMISSION","","LT2 Testing"
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","3622823","01/17/2017","Raw Water","1","7","1015","","02/01/2017","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Good"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","970171","01/17/2017","Compliance","1","1","1050","","01/27/2017","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","970170","01/17/2017","Raw Water","1","2","1050","","01/27/2017","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","3604054","12/13/2016","Raw Water","1","7","1210","","12/28/2016","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Good"
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","1062","12/13/2016","Raw Water","1","1","1210","","12/14/2016","Well","E. KIEFER","154","NORTH SHORE WATER COMMISSION","","LT2 Testing"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","966238","12/13/2016","Compliance","1","1","1225","","12/21/2016","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","966237","12/13/2016","Raw Water","1","2","1225","","12/21/2016","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","3585788","11/14/2016","Raw Water","1","7","1415","","11/22/2016","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Good"
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","1061","11/14/2016","Raw Water","1","1","1415","","11/15/2016","Well","ERIC KIEFER","154","NORTH SHORE WATER COMMISSION","","LT2 Testing"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","958932","11/14/2016","Compliance","1","1","1440","","11/23/2016","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","958931","11/14/2016","Raw Water","1","2","1440","","11/23/2016","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","3567436","10/18/2016","Raw Water","1","7","1300","","10/31/2016","Well","E KIEFER","999766900","Eurofins Eaton Analytical, LLC - Indiana","","Good"
"Long-Term 2 Enhanced SW Treat Rule","Well","1","(none)","M-1","1055","10/18/2016","Raw Water","1","1","1300","","10/19/2016","Well","E. KIEFER","154","NORTH SHORE WATER COMMISSION","","LT2 Testing"
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","954207","10/18/2016","Compliance","1","1","1330","","11/03/2016","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","954206","10/18/2016","Raw Water","1","2","1330","","11/03/2016","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","946492","09/19/2016","Compliance","1","1","1320","","09/27/2016","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","946493","09/19/2016","Raw Water","1","2","1320","","09/27/2016","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","940074","08/17/2016","Compliance","1","1","930","","08/29/2016","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","940073","08/17/2016","Raw Water","1","2","930","","08/29/2016","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","932779","07/12/2016","Compliance","1","1","1115","","07/22/2016","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","932778","07/12/2016","Raw Water","1","2","1115","","07/22/2016","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","929102","06/22/2016","Compliance","1","1","1400","","07/07/2016","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","929103","06/22/2016","Raw Water","1","2","1400","","07/07/2016","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","920114","05/09/2016","Compliance","1","1","1335","","05/19/2016","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","920113","05/09/2016","Raw Water","1","2","1335","","05/19/2016","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","914679","04/11/2016","Compliance","1","1","1305","","04/20/2016","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","914680","04/11/2016","Raw Water","1","2","1305","","04/20/2016","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Inorganics","Entry Point","100","(none)","M-100","909875","03/14/2016","Compliance","1","15","1315","","03/21/2016","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","910016","03/14/2016","Compliance","1","1","1315","","03/22/2016","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","910015","03/14/2016","Raw Water","1","2","1315","","03/22/2016","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","905857","02/17/2016","Compliance","1","1","1030","","03/04/2016","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","905856","02/17/2016","Raw Water","1","2","1030","","03/04/2016","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","902604","01/25/2016","Compliance","1","1","1215","","02/04/2016","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","902603","01/25/2016","Raw Water","1","2","1215","","02/04/2016","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","896202","12/02/2015","Compliance","1","1","1135","","12/10/2015","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","896203","12/02/2015","Raw Water","1","2","1135","","12/10/2015","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","892442","11/03/2015","Compliance","1","1","1215","","11/11/2015","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","892441","11/03/2015","Raw Water","1","2","1215","","11/11/2015","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","889660","10/19/2015","Compliance","1","1","1430","","10/23/2015","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","889661","10/19/2015","Raw Water","1","2","1430","","10/23/2015","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","880522","09/02/2015","Compliance","1","1","1315","","09/15/2015","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","880521","09/02/2015","Raw Water","1","2","1315","","09/15/2015","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","877704","08/18/2015","Compliance","1","1","1215","","08/28/2015","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","877703","08/18/2015","Raw Water","1","2","1215","","08/28/2015","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","869889","07/09/2015","Compliance","1","1","1030","","07/24/2015","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","869888","07/09/2015","Raw Water","1","2","1030","","07/24/2015","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","863433","06/03/2015","Compliance","1","1","1245","","06/10/2015","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","863432","06/03/2015","Raw Water","1","2","1245","","06/10/2015","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","860833","05/20/2015","Compliance","1","1","1330","","06/02/2015","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","860834","05/20/2015","Raw Water","1","2","1330","","06/02/2015","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Synthetic Organics","Entry Point","100","(none)","M-100","854577","04/15/2015","Compliance","1","1","1240","","05/04/2015","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","854548","04/15/2015","Compliance","1","1","1240","","05/04/2015","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","854547","04/15/2015","Raw Water","1","2","1240","","05/04/2015","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Inorganics","Entry Point","100","(none)","M-100","845996","03/03/2015","Compliance","1","15","1450","","03/17/2015","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","845994","03/03/2015","Compliance","1","1","1450","","03/17/2015","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","845995","03/03/2015","Raw Water","1","2","1450","","03/17/2015","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","842196","02/05/2015","Compliance","1","1","1150","","02/13/2015","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","842194","02/05/2015","Raw Water","1","1","1150","","02/13/2015","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water (no alkalinity)","Well","1","(none)","M-1","842195","02/05/2015","Raw Water","1","1","1150","","02/13/2015","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","840203","01/22/2015","Compliance","1","1","730","","02/04/2015","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","840202","01/22/2015","Raw Water","1","2","730","","02/04/2015","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","833593","12/02/2014","Compliance","1","1","900","","12/08/2014","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","833594","12/02/2014","Raw Water","1","2","900","","12/08/2014","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","831802","11/17/2014","Compliance","1","1","900","","11/26/2014","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","831801","11/17/2014","Raw Water","1","2","900","","11/26/2014","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","822615","10/01/2014","Compliance","1","1","1250","","10/17/2014","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","822614","10/01/2014","Raw Water","1","2","1250","","10/17/2014","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","819128","09/17/2014","Compliance","1","1","1015","","09/29/2014","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","819127","09/17/2014","Raw Water","1","2","1015","","09/29/2014","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","809376","08/11/2014","Compliance","1","1","1130","","08/19/2014","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","809375","08/11/2014","Raw Water","1","2","1130","","08/19/2014","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Synthetic Organics","Entry Point","100","(none)","M-100","803372","07/16/2014","Compliance","1","37","1350","","08/01/2014","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","803534","07/16/2014","Compliance","1","1","1330","","07/23/2014","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","803533","07/16/2014","Raw Water","1","2","1330","","07/23/2014","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","794066","06/03/2014","Compliance","1","1","1400","","06/13/2014","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","794065","06/03/2014","Raw Water","1","2","1400","","06/13/2014","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","785677","05/14/2014","Compliance","1","1","915","","05/23/2014","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","785676","05/14/2014","Raw Water","1","2","915","","05/23/2014","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Inorganics","Entry Point","100","(none)","M-100","781356","04/21/2014","Compliance","1","1","1400","","05/14/2014","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Synthetic Organics","Entry Point","100","(none)","M-100","781357","04/21/2014","Compliance","1","7","1400","","05/14/2014","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Inorganics","Entry Point","100","(none)","M-100","780525","04/15/2014","Compliance","1","15","1345","","05/14/2014","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Synthetic Organics","Entry Point","100","(none)","M-100","780524","04/15/2014","Compliance","1","33","1330","","05/14/2014","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","780528","04/15/2014","Compliance","1","1","1320","","05/14/2014","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","780527","04/15/2014","Raw Water","1","2","1320","","05/14/2014","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Volatile Organics","Entry Point","100","(none)","M-100","780526","04/15/2014","Compliance","1","41","1320","","05/14/2014","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","773450","03/06/2014","Compliance","1","1","1230","","03/13/2014","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","773449","03/06/2014","Raw Water","1","2","1230","","03/13/2014","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","771569","02/20/2014","Compliance","1","1","1430","","02/27/2014","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","771570","02/20/2014","Raw Water","1","2","1430","","02/27/2014","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","766373","01/14/2014","Compliance","1","1","1345","","01/23/2014","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","766372","01/14/2014","Raw Water","1","2","1345","","01/23/2014","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","763443","12/17/2013","Compliance","1","1","1400","","01/06/2014","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","763442","12/17/2013","Raw Water","1","2","1400","","01/06/2014","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","759380","11/19/2013","Compliance","1","1","1500","","12/05/2013","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","759379","11/19/2013","Raw Water","1","2","1500","","12/05/2013","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Disinfection Byproducts (TTHM, HAA5)","Distribution System","(none)","(none)","D-001","753045","10/16/2013","Compliance","1","11","1100","","11/12/2013","Distribution System","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","753044","10/16/2013","Compliance","1","1","915","","11/12/2013","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","753043","10/16/2013","Raw Water","1","2","915","","11/12/2013","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Disinfection Byproducts (TTHM, HAA5)","Distribution System","(none)","(none)","D-001","745716","09/17/2013","Compliance","1","11","1322","","10/17/2013","Distribution System","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","745715","09/17/2013","Compliance","1","1","1330","","10/17/2013","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","745714","09/17/2013","Raw Water","1","2","1330","","10/17/2013","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","740183","08/27/2013","Compliance","1","1","1430","","09/03/2013","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","740182","08/27/2013","Raw Water","1","2","1430","","09/03/2013","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Disinfection Byproducts (TTHM, HAA5)","Distribution System","(none)","(none)","D-0001","731370","07/16/2013","Compliance","1","5","1235","","08/17/2013","Distribution System","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","731372","07/16/2013","Compliance","1","1","1310","","08/17/2013","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-10","731371","07/16/2013","Raw Water","1","2","1310","","08/17/2013","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","726284","06/18/2013","Compliance","1","1","1350","","07/08/2013","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","726285","06/18/2013","Raw Water","1","2","1350","","07/08/2013","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","718095","05/07/2013","Compliance","1","1","855","","05/23/2013","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","718094","05/07/2013","Raw Water","1","2","855","","05/23/2013","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Disinfection Byproducts (TTHM, HAA5)","Distribution System","(none)","(none)","D-001","715207","04/18/2013","Compliance","1","11","1030","","05/01/2013","Distribution System","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","715206","04/18/2013","Compliance","1","1","1150","","05/01/2013","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","715205","04/18/2013","Raw Water","1","2","1150","","05/01/2013","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","710335","03/19/2013","Compliance","1","1","1500","","03/25/2013","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","710334","03/19/2013","Raw Water","1","2","1500","","03/25/2013","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Finished Water","Entry Point","100","(none)","M-100","705581","02/18/2013","Compliance","1","1","900","","02/26/2013","Entry Point","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Total Organic Carbon Raw Water","Well","1","(none)","M-1","705580","02/18/2013","Raw Water","1","2","900","","02/26/2013","Well","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
"Disinfection Byproducts (TTHM, HAA5)","Distribution System","(none)","(none)","D-001","702374","01/23/2013","Compliance","1","11","1010","","02/08/2013","Distribution System","E KIEFER","721026460","Northern Lake Service Inc. (Crandon)","",""
